Pattern,ClusterNumber1,,Count,Cluster_number.Record.,paste..Cluster....Cluster_number.Record..
[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number]<<BR>>[Fomula]＋<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[Fomula]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit],32,4,1,2,Cluster  2
[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[Fomula]＋<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[Fomula]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>Ｐ<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit],24,3,1,2,Cluster  2
[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>熱量<BR>[Number][Unit]<<BR>>[Fomula]＋<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[Fomula]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>本剤は,89,2,2,2,Cluster  2
[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>熱量<BR>[Number][Unit]<<BR>>[Fomula]＋<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[Fomula]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>Ｐ<BR>[Number]（ｍｍｏｌ／[Unit]）<<BR>>本剤は,89,2,2,2,Cluster  2
[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>熱量<BR>[Number][Unit]<<BR>>[Fomula]＋<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[Fomula]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>Ｐ<BR>[Number][Unit],24,3,1,2,Cluster  2
[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>（[ActIngreName]として）<BR>（[Number][Unit]）<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>（[ActIngreName]として）<BR>（[Number][Unit]）<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>（[ActIngreName]として）<BR>（[Number][Unit]）<<BR>>[ActIngreName]（ｐＨ調整剤）<BR>適量<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>（[ActIngreName]として）<BR>（[Number][Unit]）<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number]＄<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>ポリソルベート[Number]<BR>[Number][Unit]<<BR>>ポリソルベート[Number]<BR>[Number][Unit]<<BR>>Ｄ‐[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName][Number]<BR>[Number][Unit]<<BR>>[ActIngreName]（ｐＨ調整剤）<BR>適量<<BR>>[ActIngreName]（ｐＨ調整剤）<BR>適量<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]（ｐＨ調整剤）<BR>適量<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName][ActIngreName]<BR>[Number][Unit]<<BR>>（[ActIngreName]として）<BR>（[Number][Unit]）<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>（[ActIngreName]として）<BR>（[Number][Unit]）<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>コハク酸（ｐＨ調整剤）<BR>適量<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>糖濃度<BR>[Number][Unit]<<BR>>[Fomula]＋<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[Fomula]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>Ｐ<BR>[Number][Unit]<<BR>>（[Number][Unit]）<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number]＄<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]（[Fomula]）<BR>[Number][Unit]<<BR>>[ActIngreName]（[Fomula]）<BR>[Number][Unit]<<BR>>[ActIngreName]（[Fomula]）<BR>[Number][Unit]<<BR>>[ActIngreName]（[Fomula]）<BR>[Number][Unit]<<BR>>[ActIngreName]（Ｉ）<BR>[Number][Unit]<<BR>>総[ActIngreName]量<BR>[Number][Unit]<<BR>>[ActIngreName]量<BR>[Number][Unit]<<BR>>[ActIngreName]／[ActIngreName]<BR>[Number]<<BR>>[ActIngreName]含有率<BR>[Number][Unit]<<BR>>総熱量<BR>[Number][Unit]<<BR>>非蛋白熱量<BR>[Number][Unit]<<BR>>非蛋白熱量／[ActIngreName]<BR>[Number],53,1,6,2,Cluster  2
[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[Fomula]＋<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[Fomula]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit],24,3,1,2,Cluster  2
[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[Fomula]＋<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[Fomula]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>本剤は,89,2,1,2,Cluster  2
[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>熱量<BR>[Number][Unit]<<BR>>[Fomula]＋<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[Fomula]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit],24,3,7,2,Cluster  2
[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>熱量<BR>[Number][Unit]<<BR>>[Fomula]＋<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[Fomula]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>本剤は,89,2,4,2,Cluster  2
